inchikey,smiles_std,pIC50_B2,pIC50_B1,scaffold
OYTJWKZMQXQVQT-UHFFFAOYSA-N,Cc1noc(C)c1C(=O)NCc1cncc(-c2cc3c(cc2F)N(C)C(=O)CC3)c1,7.920818753952375,6.3979400086720375,O=C1CCc2cc(-c3cncc(CNC(=O)c4cnoc4)c3)ccc2N1
PABPXNBLRGTCSE-QGZVFWFLSA-N,CCC(=O)N[C@@H]1CCOc2c(-c3cc(F)c4c(ccc(=O)n4C)c3)cncc21,7.536107011014092,,O=c1ccc2cc(-c3cncc4c3OCCC4)ccc2[nH]1
PASOJJKWUYWRMN-UHFFFAOYSA-N,CCC(=O)NCc1cncc(-c2ccc3c(c2)CCC(=O)N3C)c1,7.356547323513812,5.798602875679548,O=C1CCc2cc(-c3cccnc3)ccc2N1
PBFDMEAHYHEREP-UHFFFAOYSA-N,Cc1nn(C)cc1C(=O)NCc1cncc(-c2ccc3c(c2)CCC(=O)N3C)c1,7.958607314841775,6.443697499232712,O=C1CCc2cc(-c3cncc(CNC(=O)c4cn[nH]c4)c3)ccc2N1
PEWYHJGCPNJCDZ-UHFFFAOYSA-N,CCS(=O)(=O)N(C)C(C)c1cncc(-c2ccc3c(c2)CCC(=O)N3C)c1,7.958607314841775,6.701146923590294,O=C1CCc2cc(-c3cccnc3)ccc2N1
PEZMVBIFITYSBC-UHFFFAOYSA-N,CN1C(=O)CCc2cc(-c3cncc(CNC(=O)c4ccccn4)c3)ccc21,8.221848749616356,6.954677021213342,O=C1CCc2cc(-c3cncc(CNC(=O)c4ccccn4)c3)ccc2N1
PFQOIMPWVJFXSM-GOSISDBHSA-N,CCC(=O)N[C@@H]1CCCc2c(-c3ccc4c(c3)CC(=O)N4C)cncc21,7.616184634019569,,O=C1Cc2cc(-c3cncc4c3CCCC4)ccc2N1
PGJFSNDVILRDMU-UHFFFAOYSA-N,CC(NC(=O)c1ncccc1Cl)c1cncc(-c2ccc3c(c2)CCC(=O)N3C)c1Cl,9.0,8.221848749616356,O=C1CCc2cc(-c3cncc(CNC(=O)c4ccccn4)c3)ccc2N1
PJXOSQIYXVLOPG-UHFFFAOYSA-N,Cc1nocc1C(=O)NCc1cncc(-c2ccc3c(c2)CCC(=O)N3C)c1,7.795880017344075,6.199282921717615,O=C1CCc2cc(-c3cncc(CNC(=O)c4cnoc4)c3)ccc2N1
PKBIBYSRZLYFOR-NVNSKBCASA-N,[2H]C([2H])([2H])OC(=O)N[C@@H]1CCCc2c(-c3ccc4c(c3)COC(=O)N4C)cncc21,8.443697499232712,6.954677021213342,O=C1Nc2ccc(-c3cncc4c3CCCC4)cc2CO1
